[2025-06-15 13:19:07] [INFO] Rules loaded successfully
[2025-06-15 13:19:07] [INFO] Process rules loaded successfully
[2025-06-15 13:19:07] [INFO] Bad hashes loaded successfully
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
